news_site_title	district
Matou mulher, desapareceu sem deixar rasto e família já o tenta encontrar pelo Facebook	SANTARÉM
Matou namorada a quem devia dinheiro	LISBOA
Matou namorada a tiro quando ela o quis deixar	LISBOA
Meio dia em 60 segundos: Mata filha e suicida-se após matar sogra no Seixal	SETÚBAL
Micaela: como o meu pai matou a minha mãe	PORTO
Milionária brasileira assassinada pelo marido no Estoril	LISBOA
Morreu homem que matou mulher em Famalicão	BRAGA
Morreu homem que matou mulher em Matosinhos	PORTO
Morreu o idoso que assassinou duas mulheres no Alandroal	SETÚBAL
Mulher assassinada à facada na Baixa da Banheira	SETÚBAL
Mulher assassinada à facada na Costa da Caparica	SETÚBAL
Mulher assassinada a tiro num parque de estacionamento de uma discoteca na Golegâ	SANTARÉM
Mulher assassinada com martelo em Viseu	VISEU
Mulher assassinada domingo à noite numa rua da Golegã	SANTARÉM
Mulher assassinada e homem ferido à facada em Carrazeda de Ansiães	BRAGANÇA
Mulher assassinada em Corroios. Ex-companheiro é o principal suspeito do crime	SETÚBAL
Mulher assassinada em Sernancelhe	LISBOA
Mulher assassinada em Setúbal	SETÚBAL
Mulher assassinada em Vila Real de Santo António	FARO
Mulher assassinada hoje tinha 44 anos e dois filhos. É a 30.ª vítima de violência doméstica	VILA REAL
Mulher assassinada na estação da Amadora	LISBOA
Mulher assassinada na Golegã foi morta por ex-companheiro	SANTARÉM
Mulher assassinada num prédio no centro de Guimarães	PORTO
Mulher assassinada pelo ex-companheiro no Bombarral	LEIRIA
Mulher assassinada pelo marido em plena via pública	SETÚBAL
Mulher assassinada pelo marido em Ponte de Lima	VIANA DO CASTELO
Mulher assassinada pelo marido em Setúbal	SETÚBAL
Mulher assassinada pelo marido em Vieira do Minho	BRAGA
Mulher assassinada pelo marido na rua	SETÚBAL
Mulher assassinada por terminar relação	PORTO
Mulher de 37 anos assassinada em Vila Real de Santo António	BEJA
Mulher de 48 anos assassinada pelo marido na Figueira da Foz	COIMBRA
Mulher faz compras em nome da tia que assassinou	VIANA DO CASTELO
Mulher que esfaqueou e matou a tia condenada a 12 anos de prisão	AVEIRO
Mulher que matou marido condenada a 20 anos de cadeia	BRAGA
Mulheres assassinadas recordadas numa concentração e vigília	LISBOA
Órfãos de mulher assassinada na Suíça vêm para Portugal	SANTARÉM
Pai do homem que matou a sogra e filha paga funeral em Castanheira	SANTARÉM
Pedreiro mata mulher à pancada em Sintra	LISBOA
Peluches e flores na homenagem à avó e neta assassinadas no Seixal	SETÚBAL
Pena de 21 anos de prisão para homem que matou ex-namorada e escondeu o corpo	BRAGA
Pena de 23 anos de prisão para homem que matou ex companheira em Leiria	LEIRIA
Pena de 23 anos de prisão para homem que matou ex-companheira	LEIRIA
Pena de prisão reduzida de 21 para 12 anos a jovem que matou namorada	BRAGA
Pena máxima para homem que mandou matar a mulher a assassinou o homicida contratado	SANTARÉM
Pena máxima para homem que matou a namorada a murro e pontapé	ÉVORA
Pena máxima para homem que matou namorada a murro e pontapé	ÉVORA
Pena máxima para homem que matou namorada ao murro e ao pontapé em Évora	ÉVORA
PJ detém filho adoptivo da médica que foi assassinada em Coimbra	COIMBRA
PJ está a investigar homem que matou mãe à facada na Póvoa de Varzim	PORTO
PJ investiga caso de homem que matou mulher e suicidou-se	BRAGA
PJ suspeita que homem matou mulher e suicidou-se em Lisboa	LISBOA
Polícia cerca casa de homem que disparou sobre quatro mulheres e matou duas	VISEU
Preventiva para homem que matou a mulher com três tiros de caçadeira	BRAGA
Preventiva para homem que matou ex-mulher à facada	LEIRIA
Preventiva para homem que matou mulher em jardim público	ÉVORA
Preventiva para mulher que matou a tiro ex-companheira	SETÚBAL
Prisão preventiva para filho que matou a mãe em Ribeira de Pena	VILA REAL
Prisão preventiva para filho que matou a mãe em Viseu	VISEU
Prisão preventiva para homem que matou a mulher	LISBOA
Prisão preventiva para homem que matou ex-namorada em Vila Real de Santo António	FARO
Prisão preventiva para homem que matou mãe com martelo em Viseu	VISEU
Prisão preventiva para homem que matou mulher e escondeu corpo num pinhal	LEIRIA
Prisão preventiva para homem que matou mulher e filha	COIMBRA
Prisão preventiva para homem que matou mulher no Bombarral e escondeu corpo	LEIRIA
Prisão preventiva para homem que matou mulher num jardim em Alcáçovas	ÉVORA
PSP detém seis homens por violência doméstica. Um matou companheira	LISBOA
PSP que matou a mulher ficou em prisão preventiva	SETÚBAL
PSP que matou a mulher já está a ser interrogado	SETÚBAL
Queixa na GNR não a protegeu de ser assassinada pelo marido	PORTO
Quem era Pedro Henriques, o homem que matou a ex-sogra e a filha de dois anos?	LEIRIA
Reformado das Finanças matou a mãe à pancada	FARO
Reformado matou mãe de 94 anos e simulou queda da cama	AVEIRO
Relação baixa para 12 anos pena de jovem que matou ex-namorada	AVEIRO
Relação confirma 21 anos de cadeia para homem que matou a mulher com três tiros	LEIRIA
Rosalina Ribeiro não fez grandes alterações ao testamento três meses antes de ser assassinada no Rio de Janeiro	LISBOA
Sai da cadeia e mata a mulher com tiro na cabeça	LEIRIA
Salvaterra de Magos. Homem matou a mulher no trabalho e suicidou-se	SANTARÉM
Secretária de Tomé Feteira assassinada no Brasil estava falida e alterou testamento	SETÚBAL
Seis das 22 mulheres assassinadas este ano foram mortas pelos filhos ou netos	LEIRIA
Septuagenário que matou mulher com pá foi condenado a internamento	BRAGA
Septuagenário que matou mulher com uma pá conhece hoje a sentença	VILA REAL
Sobrinho de idosa assassinada absolvido	BRAGA
Sogra assassinada no Seixal contava nas redes sociais a cumplicidade que a unia à filha	SETÚBAL
Stripper matou mulher por causa dos ciúmes	LISBOA
Stripper que matou namorada grávida já tinha morto no Brasil	SANTARÉM
Supremo Tribunal confirma 20 anos de cadeia para professor de Fafe que matou namorada	COIMBRA
Taxista que matou uma mulher condenado a 16 anos de prisão	VISEU
Telemóvel trama homem que matou ex-companheira no Algarve	BEJA
Todos os passos do homem que matou a sogra e a filha no Seixal	LISBOA
Tribunal condena a 19 anos de prisão homem que matou mulher na Marinha Grande	LEIRIA
Tribunal confirma 13 anos de prisão para homem que matou ex-namorada em Guimarães	AVEIRO
Tribunal confirma 21 anos de prisão para jovem que matou ex-namorada em Braga	BRAGA
Tribunal de Aveiro condenou a 23 anos de prisão homem que matou mulher à paulada	AVEIRO
